tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
435,2/1/2017 0:06,2/1/2017 0:13,3214,Essex Light Rail,40.7127742,-74.0364857,3199,Newport Pkwy,40.7287448,-74.0321082,24493,Subscriber,1988,1
779,2/1/2017 1:02,2/1/2017 1:15,3194,McGinley Square,40.72533993,-74.06762213,3189,West Side Light Rail,40.714402,-74.0887723,26232,Subscriber,1962,1
145,2/1/2017 1:56,2/1/2017 1:58,3211,Newark Ave,40.72152515,-74.04630454,3278,Monmouth and 6th,40.72568548,-74.04879034,24511,Subscriber,1972,1
184,2/1/2017 4:38,2/1/2017 4:41,3276,Marin Light Rail,40.71458404,-74.04281706,3186,Grove St PATH,40.71958612,-74.04311746,24535,Subscriber,1983,1
197,2/1/2017 4:42,2/1/2017 4:45,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,26255,Subscriber,1963,1
146,2/1/2017 4:44,2/1/2017 4:47,3279,Dixon Mills,40.72163014,-74.04996783,3186,Grove St PATH,40.71958612,-74.04311746,24688,Subscriber,1982,1
307,2/1/2017 5:16,2/1/2017 5:21,3269,Brunswick & 6th,40.72601173,-74.05038893,3186,Grove St PATH,40.71958612,-74.04311746,26254,Subscriber,1985,1
162,2/1/2017 5:20,2/1/2017 5:23,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,24626,Subscriber,1980,1
173,2/1/2017 5:35,2/1/2017 5:38,3276,Marin Light Rail,40.71458404,-74.04281706,3186,Grove St PATH,40.71958612,-74.04311746,26291,Subscriber,1985,1
162,2/1/2017 5:55,2/1/2017 5:58,3267,Morris Canal,40.71241882,-74.03852552,3184,Paulus Hook,40.7141454,-74.0335519,26235,Subscriber,1961,1
238,2/1/2017 5:58,2/1/2017 6:02,3269,Brunswick & 6th,40.72601173,-74.05038893,3186,Grove St PATH,40.71958612,-74.04311746,24487,Subscriber,1989,2
179,2/1/2017 6:02,2/1/2017 6:05,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,24484,Subscriber,1981,1
366,2/1/2017 6:08,2/1/2017 6:14,3207,Oakland Ave,40.7376037,-74.0524783,3195,Sip Ave,40.73074263,-74.06378388,24699,Subscriber,1958,1
292,2/1/2017 6:10,2/1/2017 6:15,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,24681,Subscriber,1957,1
312,2/1/2017 6:12,2/1/2017 6:18,3278,Monmouth and 6th,40.72568548,-74.04879034,3186,Grove St PATH,40.71958612,-74.04311746,26207,Subscriber,1983,1
272,2/1/2017 6:16,2/1/2017 6:20,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,26194,Subscriber,1974,1
557,2/1/2017 6:23,2/1/2017 6:32,3280,Astor Place,40.7192822,-74.07126188,3195,Sip Ave,40.73074263,-74.06378388,24413,Subscriber,1986,2
536,2/1/2017 6:23,2/1/2017 6:32,3280,Astor Place,40.7192822,-74.07126188,3195,Sip Ave,40.73074263,-74.06378388,26273,Subscriber,1986,1
208,2/1/2017 6:24,2/1/2017 6:27,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,24643,Subscriber,1991,1
161,2/1/2017 6:24,2/1/2017 6:26,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,26191,Subscriber,1983,1
